Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
34,Non-Travel,600,Research & Development,27,1,Other,1,58,2,Male,92,4,2,Research Scientist,3,Married,6182,24133,3,Y,Yes,14,3,1,80,0,17,3,2,9,8,6,2,No
39,Travel_Rarely,1051,Research & Development,6,2,Life Sciences,1,59,2,Male,65,2,2,Laboratory Technician,1,Married,3149,15480,9,Y,Yes,12,3,1,80,1,14,2,1,0,2,1,0,Yes
45,Travel_Rarely,609,Sales,23,5,Life Sciences,1,60,1,Female,86,4,5,Sales Executive,2,Married,10772,9301,6,Y,Yes,17,3,1,80,0,20,3,4,0,1,0,0,No
32,Travel_Rarely,1429,Sales,12,5,Marketing,1,61,3,Male,74,3,2,Research Director,1,Single,4530,6491,5,Y,No,23,3,1,80,0,8,5,2,6,1,1,5,No
35,Travel_Frequently,602,Research & Development,4,3,Medical,1,62,1,Male,31,1,1,Research Scientist,2,Single,2347,7765,5,Y,Yes,13,3,2,80,2,10,2,2,6,3,2,5,Yes
26,Travel_Rarely,904,Research & Development,28,2,Medical,1,63,4,Male,97,2,1,Research Director,4,Single,14369,21611,6,Y,No,22,3,2,80,0,14,1,2,7,7,1,8,No
26,Travel_Rarely,699,Research & Development,13,5,Other,1,64,3,Male,79,4,4,Research Scientist,1,Single,9750,20251,3,Y,No,14,3,4,80,0,9,5,1,20,10,0,9,No
44,Travel_Frequently,267,Research & Development,17,1,Life Sciences,1,65,2,Male,58,2,1,Manager,3,Single,6311,24100,5,Y,No,19,3,1,80,0,13,1,2,3,2,0,4,Yes
49,Travel_Rarely,563,Research & Development,27,3,Other,1,66,3,Male,39,4,2,Research Scientist,1,Married,1009,11284,2,Y,Yes,12,3,1,80,0,21,5,1,7,13,0,0,No
36,Travel_Rarely,1021,Research & Development,8,4,Life Sciences,1,67,4,Male,56,1,2,Manufacturing Director,4,Single,5393,9506,4,Y,No,22,3,2,80,2,27,0,1,2,3,0,0,No
46,Travel_Rarely,215,Research & Development,26,1,Marketing,1,68,1,Male,44,2,3,Research Scientist,4,Divorced,6398,20543,1,Y,No,18,3,2,80,1,7,6,2,11,4,1,0,No
40,Travel_Rarely,1093,Research & Development,20,2,Life Sciences,1,69,1,Female,89,4,1,Laboratory Technician,2,Single,13379,10683,2,Y,No,11,3,1,80,1,28,5,4,0,5,3,5,No
31,Travel_Rarely,1481,Research & Development,3,5,Medical,1,70,2,Male,60,1,5,Manufacturing Director,4,Divorced,1009,17023,8,Y,No,13,3,1,80,1,7,4,2,2,1,7,1,Yes
40,Travel_Rarely,308,Sales,12,1,Life Sciences,1,71,1,Male,50,3,5,Laboratory Technician,2,Married,13833,8426,5,Y,No,14,3,2,80,1,18,1,2,1,2,4,0,Yes
50,Travel_Rarely,1360,Sales,7,4,Medical,1,72,1,Female,89,4,4,Laboratory Technician,4,Married,8553,18073,2,Y,No,24,3,2,80,1,7,5,1,12,3,0,5,No
36,Travel_Rarely,1480,Sales,12,4,Technical Degree,1,73,4,Female,87,1,3,Sales Executive,2,Married,1009,10007,1,Y,No,16,4,4,80,1,3,4,2,7,0,2,7,No
51,Travel_Frequently,616,Sales,2,2,Medical,1,74,3,Female,70,1,5,Research Scientist,3,Married,10832,12089,4,Y,Yes,11,3,4,80,2,20,0,4,8,1,7,1,No
18,Travel_Rarely,1333,Research & Development,24,1,Other,1,75,1,Male,75,2,4,Laboratory Technician,2,Divorced,5353,4040,9,Y,No,24,4,1,80,3,10,5,2,5,3,1,3,No
44,Travel_Rarely,810,Research & Development,14,3,Human Resources,1,76,4,Female,74,4,1,Sales Executive,2,Married,1009,5509,4,Y,No,18,3,2,80,3,21,6,4,14,2,7,9,Yes
37,Travel_Rarely,1250,Research & Development,22,1,Medical,1,77,4,Male,55,3,3,Research Scientist,3,Single,4411,3488,0,Y,No,12,3,4,80,1,17,4,3,6,1,0,7,No
34,Non-Travel,239,Research & Development,23,4,Life Sciences,1,78,2,Male,80,4,3,Research Scientist,2,Married,7698,17178,2,Y,No,15,3,1,80,2,14,6,3,18,7,0,0,No
37,Travel_Rarely,440,Research & Development,5,2,Life Sciences,1,79,4,Female,65,1,2,Research Scientist,2,Single,6791,4515,6,Y,No,16,3,4,80,0,15,5,3,14,0,1,9,No
18,Travel_Rarely,638,Sales,9,2,Medical,1,80,2,Male,81,3,1,Laboratory Technician,3,Divorced,9524,22397,8,Y,Yes,18,3,4,80,2,19,1,2,0,6,1,6,Yes
34,Travel_Frequently,169,Sales,21,3,Medical,1,81,1,Female,80,1,3,Laboratory Technician,4,Married,11657,9439,4,Y,No,13,3,4,80,2,18,1,1,10,4,4,9,No
40,Travel_Frequently,484,Sales,11,2,Life Sciences,1,82,2,Female,32,2,4,Sales Representative,1,Single,1336,21561,3,Y,No,22,3,3,80,2,8,3,4,14,5,2,3,No
50,Travel_Rarely,120,Research & Development,5,2,Life Sciences,1,83,4,Female,43,4,5,Research Scientist,2,Single,6401,10124,2,Y,No,19,3,1,80,2,14,3,3,4,0,1,1,No
32,Travel_Frequently,784,Sales,3,2,Human Resources,1,84,3,Female,78,1,1,Research Director,4,Single,3633,26598,9,Y,No,22,3,4,80,0,23,5,4,9,2,10,3,No
29,Travel_Rarely,175,Sales,27,2,Life Sciences,1,85,3,Male,30,1,1,Manufacturing Director,1,Divorced,1009,13074,8,Y,Yes,15,3,1,80,0,11,3,1,0,5,0,0,Yes
32,Travel_Rarely,674,Research & Development,17,2,Life Sciences,1,86,1,Male,86,4,3,Research Director,3,Divorced,6256,3938,6,Y,No,18,4,1,80,0,7,5,4,0,2,6,7,No
45,Travel_Rarely,1040,Research & Development,2,4,Life Sciences,1,87,1,Female,46,3,3,Manager,2,Single,8528,3898,6,Y,Yes,14,3,2,80,1,6,5,4,5,0,3,2,No
39,Travel_Rarely,1401,Sales,24,1,Marketing,1,88,3,Female,79,1,3,Manufacturing Director,2,Married,8806,11175,7,Y,No,22,3,1,80,0,17,6,3,0,3,1,5,No
32,Travel_Frequently,1173,Research & Development,1,5,Life Sciences,1,89,2,Female,43,4,4,Research Scientist,3,Divorced,4642,20981,9,Y,No,19,4,4,80,1,9,4,4,7,3,3,11,Yes
41,Travel_Rarely,312,Research & Development,7,2,Medical,1,90,1,Female,88,2,2,Research Scientist,2,Single,1763,20371,0,Y,No,18,3,1,80,1,14,1,3,10,6,0,2,Yes
37,Travel_Rarely,956,Research & Development,14,5,Life Sciences,1,91,4,Female,32,2,3,Research Scientist,1,Single,3470,20144,3,Y,No,15,3,2,80,1,9,0,1,1,8,2,4,No
45,Travel_Frequently,752,Research & Development,5,5,Medical,1,92,1,Female,69,4,2,Research Director,1,Single,1009,6438,4,Y,No,13,4,3,80,2,20,2,3,0,4,2,2,No
30,Travel_Frequently,1095,Sales,19,4,Marketing,1,93,2,Male,95,1,2,Research Director,3,Single,1009,25069,4,Y,No,11,3,3,80,1,12,1,4,0,5,3,3,No
33,Travel_Rarely,796,Sales,28,2,Life Sciences,1,94,1,Male,63,4,1,Healthcare Representative,2,Single,1317,21543,0,Y,Yes,15,3,2,80,1,22,3,1,14,8,1,3,Yes
33,Travel_Rarely,641,Research & Development,28,5,Other,1,95,4,Female,38,4,5,Sales Representative,4,Divorced,10472,23553,2,Y,No,15,3,4,80,1,22,5,2,0,3,7,7,No
23,Travel_Rarely,1316,Research & Development,11,2,Life Sciences,1,96,4,Male,50,1,5,Research Director,2,Married,10468,13927,1,Y,No,14,3,4,80,2,10,3,2,8,6,0,7,No
39,Travel_Frequently,1440,Research & Development,23,3,Life Sciences,1,97,4,Male,54,3,4,Laboratory Technician,3,Single,16508,21553,6,Y,No,20,3,4,80,0,21,4,1,14,0,0,3,Yes
39,Travel_Rarely,1002,Research & Development,25,3,Marketing,1,98,2,Male,73,3,4,Manufacturing Director,4,Married,7629,3353,4,Y,No,20,3,1,80,0,8,3,1,1,2,2,4,No
36,Non-Travel,881,Research & Development,2,3,Life Sciences,1,99,2,Female,54,2,5,Research Scientist,1,Married,4225,20698,2,Y,No,18,3,3,80,2,13,4,4,1,10,0,2,No
34,Travel_Rarely,1238,Research & Development,8,5,Medical,1,100,4,Female,38,3,5,Research Scientist,1,Married,6556,23919,7,Y,No,13,3,4,80,1,5,0,2,8,7,4,9,No
24,Travel_Rarely,271,Human Resources,9,3,Life Sciences,1,101,4,Female,91,4,1,Sales Executive,4,Single,5704,15953,0,Y,Yes,22,3,3,80,1,15,5,1,8,7,6,0,Yes
33,Travel_Rarely,1139,Research & Development,27,4,Life Sciences,1,102,2,Male,55,1,1,Laboratory Technician,4,Single,3530,13124,0,Y,No,20,3,2,80,0,13,3,2,3,1,0,1,No
33,Travel_Rarely,389,Sales,3,4,Life Sciences,1,103,2,Female,86,2,5,Manufacturing Director,3,Married,8003,23413,5,Y,No,19,3,3,80,0,15,4,2,5,0,2,5,No
29,Travel_Rarely,290,Research & Development,2,5,Other,1,104,2,Female,66,3,3,Laboratory Technician,2,Single,7408,4541,0,Y,No,13,3,4,80,1,0,3,4,7,0,4,7,Yes
35,Non-Travel,1015,Sales,7,2,Other,1,105,3,Male,45,4,3,Sales Representative,1,Single,6111,5223,3,Y,Yes,14,3,3,80,0,0,4,1,4,4,5,8,No
40,Travel_Rarely,1280,Sales,5,1,Medical,1,106,2,Male,66,2,1,Research Scientist,2,Married,5116,20376,5,Y,No,16,4,2,80,0,2,6,3,4,6,13,4,No
54,Travel_Rarely,795,Research & Development,21,2,Life Sciences,1,107,4,Male,53,1,2,Sales Executive,1,Single,9469,9791,0,Y,Yes,19,3,3,80,0,15,5,1,18,9,0,1,No
38,Travel_Frequently,989,Sales,26,2,Life Sciences,1,108,3,Male,55,3,5,Manager,2,Divorced,3897,25169,8,Y,No,20,3,1,80,1,16,5,2,13,0,6,4,No
39,Travel_Rarely,572,Sales,5,2,Marketing,1,109,2,Female,49,4,4,Manufacturing Director,1,Married,4605,22981,3,Y,Yes,12,3,2,80,1,20,1,3,13,2,0,7,Yes
36,Travel_Frequently,1200,Sales,20,2,Marketing,1,110,4,Male,38,1,3,Research Scientist,2,Single,8732,6043,8,Y,No,12,3,1,80,3,8,4,3,4,10,0,1,Yes
19,Travel_Rarely,378,Research & Development,13,1,Life Sciences,1,111,1,Female,58,4,2,Laboratory Technician,3,Single,11253,12753,8,Y,Yes,12,3,1,80,1,12,2,2,0,0,2,3,Yes
36,Travel_Rarely,1041,Research & Development,21,3,Medical,1,112,3,Male,60,4,3,Research Scientist,1,Married,10824,10104,5,Y,No,15,4,4,80,2,5,0,3,22,4,2,3,No
37,Travel_Rarely,1468,Research & Development,20,2,Life Sciences,1,113,4,Male,48,4,2,Research Director,3,Married,5279,25917,6,Y,No,16,3,4,80,1,21,1,3,3,0,6,8,No
59,Travel_Rarely,672,Sales,6,4,Marketing,1,114,1,Male,49,1,5,Manufacturing Director,1,Married,1009,18494,0,Y,Yes,13,4,2,80,1,5,0,1,8,2,0,0,No
35,Non-Travel,958,Research & Development,20,5,Technical Degree,1,115,4,Male,56,2,5,Sales Executive,1,Married,5139,10053,4,Y,Yes,13,3,4,80,0,20,1,2,11,11,0,0,No
39,Travel_Rarely,1102,Research & Development,18,5,Marketing,1,116,2,Male,73,4,5,Laboratory Technician,1,Married,6845,8335,2,Y,Yes,12,4,3,80,0,9,3,4,3,6,8,3,No
36,Travel_Rarely,1307,Research & Development,25,4,Marketing,1,117,2,Male,64,2,1,Sales Representative,2,Divorced,1263,16881,9,Y,No,21,3,2,80,1,23,4,3,12,8,0,6,No
26,Travel_Rarely,559,Research & Development,2,2,Life Sciences,1,118,1,Male,51,2,2,Manufacturing Director,1,Married,5051,10000,9,Y,No,16,4,4,80,0,12,3,2,7,6,5,2,No
47,Travel_Rarely,1019,Sales,25,1,Marketing,1,119,2,Male,44,3,4,Manager,3,Married,12173,21500,5,Y,No,11,3,4,80,1,12,0,1,5,6,6,0,No
43,Travel_Frequently,934,Human Resources,26,3,Other,1,120,4,Female,42,3,4,Research Scientist,2,Married,7193,15279,3,Y,No,19,4,3,80,1,5,5,1,3,0,5,6,Yes
44,Travel_Rarely,1189,Research & Development,6,5,Life Sciences,1,121,1,Male,33,2,5,Sales Representative,2,Divorced,3959,15397,8,Y,Yes,21,3,1,80,2,28,0,1,0,11,3,2,Yes
28,Travel_Rarely,940,Research & Development,9,3,Other,1,122,4,Male,85,3,4,Healthcare Representative,1,Married,6635,3360,6,Y,No,20,3,3,80,3,19,1,3,0,10,4,4,No
49,Non-Travel,1385,Research & Development,25,1,Technical Degree,1,123,4,Female,52,3,3,Healthcare Representative,4,Married,6893,2572,3,Y,No,14,3,1,80,0,15,0,4,24,1,0,3,No
24,Travel_Rarely,294,Research & Development,3,5,Technical Degree,1,124,4,Male,63,2,2,Research Scientist,2,Married,4745,22774,5,Y,No,24,3,4,80,0,13,4,1,15,9,0,0,Yes
42,Non-Travel,717,Research & Development,1,3,Life Sciences,1,125,2,Female,46,1,2,Sales Representative,1,Married,10130,6071,1,Y,No,12,3,1,80,1,6,0,4,7,8,1,5,No
56,Travel_Rarely,507,Research & Development,1,1,Medical,1,126,2,Female,57,3,2,Manufacturing Director,3,Single,1009,8162,2,Y,No,23,4,1,80,0,16,3,2,16,6,0,6,Yes
27,Travel_Rarely,1044,Human Resources,19,3,Marketing,1,127,4,Male,43,3,3,Sales Representative,4,Married,8717,13830,6,Y,No,22,3,4,80,0,10,5,1,15,4,0,3,No
31,Travel_Rarely,822,Research & Development,5,2,Life Sciences,1,128,3,Female,63,1,1,Research Scientist,2,Single,3806,22752,3,Y,No,16,3,2,80,1,11,4,3,10,3,2,0,No
37,Travel_Frequently,194,Sales,13,1,Other,1,129,4,Female,86,1,3,Sales Executive,4,Single,11414,14834,9,Y,Yes,15,3,3,80,3,18,0,1,4,10,0,10,Yes
32,Non-Travel,531,Research & Development,19,3,Medical,1,130,4,Female,84,1,2,Research Scientist,2,Divorced,1009,24891,6,Y,No,13,3,4,80,1,13,2,3,13,4,6,5,Yes
22,Travel_Rarely,755,Research & Development,12,2,Other,1,131,1,Female,95,2,2,Laboratory Technician,4,Single,10911,9885,8,Y,Yes,23,3,3,80,1,11,2,2,12,5,1,0,No
37,Travel_Rarely,535,Research & Development,16,2,Life Sciences,1,132,4,Male,66,1,2,Laboratory Technician,4,Single,2790,2579,4,Y,No,13,4,3,80,0,22,5,4,11,10,0,12,No
27,Travel_Rarely,1237,Sales,25,1,Medical,1,133,2,Female,97,2,4,Laboratory Technician,3,Single,8013,14374,0,Y,No,15,3,1,80,1,4,3,4,4,8,1,1,Yes
41,Travel_Rarely,476,Research & Development,25,4,Technical Degree,1,134,1,Male,55,4,1,Laboratory Technician,4,Married,4314,6767,4,Y,Yes,14,3,4,80,0,0,1,4,9,0,1,8,No
28,Travel_Rarely,1184,Research & Development,19,5,Medical,1,135,3,Male,90,4,3,Manager,3,Married,11797,2431,5,Y,Yes,15,3,2,80,1,5,1,1,8,2,0,6,No
51,Non-Travel,1168,Research & Development,3,1,Marketing,1,136,1,Male,96,1,2,Sales Executive,1,Single,5601,17186,1,Y,No,12,3,3,80,0,12,5,1,4,1,0,5,Yes
29,Travel_Rarely,308,Research & Development,12,2,Life Sciences,1,137,3,Male,81,1,5,Research Scientist,2,Single,3101,25378,7,Y,Yes,21,3,3,80,2,16,0,2,9,5,0,9,Yes
33,Travel_Rarely,881,Research & Development,5,2,Life Sciences,1,138,1,Male,47,4,1,Sales Representative,3,Single,13075,4097,1,Y,No,11,3,2,80,1,5,4,4,14,2,0,0,No
44,Travel_Rarely,1421,Sales,2,1,Medical,1,139,1,Female,82,2,5,Laboratory Technician,2,Single,5183,3565,8,Y,Yes,15,3,3,80,1,40,5,2,16,2,0,6,No
